model,compatible_model_1,compatible_model_2,compatible_model_3,compatible_model_4,compatible_model_5,compatible_model_6,compatible_model_7,compatible_model_8
iPhone 17,iPhone 17
iPhone 17 Pro,iPhone 17 Pro
iPhone 17 Pro Max,iPhone 17 Pro Max
iPhone 17e,iPhone 17e,iPhone 16e
iPhone Gloryhole Case,iPhone 17 Case,iPhone 17e Case,iPhone Air Case
AirTag,AirTag 2,AirTag
iPad Air 11-inch,iPad Pro 11″ 1st gen,iPad Air 10.9″ 4th gen,iPad Air 10.9″ 5th gen (M1),iPad Air 11″ (M2),iPad Air 11″ (M3),iPad Air 11″ (M4)
iPad Air 13-inch,iPad Pro 12.9″ 3rd gen,iPad Air 13″ (M2),iPad Air 13″ (M3),iPad Air 13″ (M4)
MagSafe iPhone,iPhone 12,iPhone 13,iPhone 14,iPhone 15,iPhone 16,iPhone 17,iPhone Air,iPhone 17e
iPhone 16e,iPhone 16e
iPhone Air,iPhone Air
iPad 10,iPad 10.9″ 10th gen,iPad 11″ (A16)
iPhone 16,iPhone 16
iPhone 16 Plus,iPhone 16 Plus
iPhone 16 Pro Max,iPhone 16 Pro Max
iPhone 16 Pro,iPhone 16 Pro
iPad mini 6,iPad mini 6,iPad mini (A17 Pro)
iPad Pro 13 M4,iPad Pro 13″ (M4),iPad Pro 13″ (M5)
iPad Pro 11 M4,iPad Pro 11″ (M4),iPad Pro 11″ (M5)
iPhone 15 Pro Max,iPhone 15 Pro Max
iPhone 15 Pro,iPhone 15 Pro
iPhone 15 Plus,iPhone 15 Plus
iPhone 15,iPhone 15
iPhone 12 & 12 Pro,iPhone 12,iPhone 12 Pro
iPhone 11 Pro,iPhone 11 Pro
iPad mini 4-5,iPad mini 4,iPad mini 5
iPad mini 4,iPad mini 4
iPhone 14 Pro Max,iPhone 14 Pro Max
iPhone 14 Pro,iPhone 14 Pro
iPhone 14 Plus,iPhone 14 Plus
iPhone 14,iPhone 14
iPad Pro 12.9 M1,iPad Pro 12.9″ 4th gen,iPad Pro 12.9″ 5th gen (M1),iPad Pro 12.9″ 6th gen (M2)
iPad Pro 11 M1,iPad Pro 11″ 2nd gen,iPad Pro 11″ 3rd gen (M1),iPad Pro 11″ 4th gen (M2)
iPhone 13 Pro,iPhone 13 Pro
iPhone 7-8,iPhone 7,iPhone 8,iPhone SE (2020),iPhone SE (2022)
iPhone 13 mini,iPhone 13 mini
iPhone 13 Pro Max,iPhone 13 Pro Max
iPhone 13,iPhone 13
iPad 10.5,iPad Pro 10.5″,iPad Air 3,iPad 10.2″ 7th gen,iPad 10.2″ 8th gen,iPad 10.2″ 9th gen
iPhone 12 mini,iPhone 12 mini
iPhone 12 Pro Max,iPhone 12 Pro Max
iPhone 11 Pro Max,iPhone 11 Pro Max
iPhone 11,iPhone 11,iPhone XR
MacBook Pro 16,MacBook Pro 16″ (2019)
iPhone XS Max,iPhone XS Max
iPhone XS,iPhone X,iPhone XS
iPhone XR,iPhone XR
MacBook 12,MacBook 12″ (2015–2017)
MacBook Pro 13,MacBook Air 13″,MacBook Pro 13″
MacBook Pro 15,MacBook Pro 15″ (2016–2019)
iPhone X,iPhone X
iPhone 7-8 Plus,iPhone 7 Plus,iPhone 8 Plus
iPad Pro 12.9 1-2,iPad Pro 12.9″ 1st gen,iPad Pro 12.9″ 2nd gen
Apple Pencil,Apple Pencil (1st generation)
iPhone 5s-SE,iPhone 5,iPhone 5s,iPhone SE (2016)
iPad 9.7 thicc,iPad Air 1,iPad 9.7″ 1st gen,iPad 9.7″ 2nd gen
iPad 9.7,iPad Air 1,iPad Air 2,iPad 9.7″ 5th gen,iPad 9.7″ 6th gen
iPad Pro 9.7,iPad Pro 9.7″
iPhone 6-6s Plus,iPhone 6 Plus,iPhone 6s Plus
iPhone 6-6s,iPhone 6,iPhone 6s
iPad Pro 12.9 A9X,iPad Pro 12.9″ 1st gen
iPad mini 1-3,iPad mini 1,iPad mini 2,iPad mini 3
iPad Air 2,iPad Air 2
iPhone 5c,iPhone 5c
iPod touch,iPod touch 5th gen (A1421)
iPad 2-4,iPad 2,the new iPad (3),iPad 4
iPhone 4,iPhone 4,iPhone 4s
