code,sku,download_res,crop,note
MC839_AV5,MC839,2048x2048,,auto: custom download res (or undocumented crop?) — verify
MC939,MC939,768x768,,auto: custom download res (or undocumented crop?) — verify
MC939_AV1_BLACK,MC939,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC939_AV1_WHITE,MC939,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC939_AV2_BLACK,MC939,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC939_AV2_WHITE,MC939,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC939_AV3_BLACK,MC939,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC939_AV3_WHITE,MC939,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC939_AV4_BLACK,MC939,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC939_AV4_WHITE,MC939,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC939_AV5,MC939,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC941,MC941,768x768,,auto: custom download res (or undocumented crop?) — verify
MC941_AV1_BLACK,MC941,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC941_AV1_WHITE,MC941,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC941_AV2_BLACK,MC941,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC941_AV2_WHITE,MC941,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC941_AV3_BLACK,MC941,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC941_AV3_WHITE,MC941,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC941_AV4_BLACK,MC941,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC941_AV4_WHITE,MC941,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC941_AV5,MC941,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC942,MC942,768x768,,auto: custom download res (or undocumented crop?) — verify
MC942_AV1_BLACK,MC942,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC942_AV1_WHITE,MC942,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC942_AV2_BLACK,MC942,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC942_AV2_WHITE,MC942,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC942_AV3_BLACK,MC942,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC942_AV3_WHITE,MC942,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC942_AV4_BLACK,MC942,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC942_AV4_WHITE,MC942,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC942_AV5,MC942,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC944,MC944,768x768,,auto: custom download res (or undocumented crop?) — verify
MC944_AV1_BLACK,MC944,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC944_AV1_WHITE,MC944,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC944_AV2_BLACK,MC944,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC944_AV2_WHITE,MC944,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC944_AV3_BLACK,MC944,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC944_AV3_WHITE,MC944,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC944_AV4_BLACK,MC944,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC944_AV4_WHITE,MC944,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC944_AV5,MC944,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC945,MC945,768x768,,auto: custom download res (or undocumented crop?) — verify
