group_id,SKU
iphone-6-6s-plus-leather-case-midnight-blue,MGQV2
iphone-6-6s-plus-silicone-case-product-red,MKXM2
iphone-6-6s-plus-silicone-case-product-red,MGRG2
iphone-6-6s-plus-silicone-case-blue,MKXP2
iphone-6-6s-plus-silicone-case-blue,MGRH2
iphone-6-6s-plus-silicone-case-lavender,MM6D2
iphone-6-6s-plus-silicone-case-lavender,MLD02
iphone-6-6s-plus-silicone-case-pink,MLCY2
iphone-6-6s-plus-silicone-case-pink,MGXW2
iphone-6-6s-plus-silicone-case-white,MKXK2
iphone-6-6s-plus-silicone-case-white,MGRF2
iphone-7-8-leather-case-product-red,MXYL2
iphone-7-8-leather-case-product-red,MQHA2
iphone-7-8-leather-case-product-red,MMY62
iphone-7-8-leather-case-black,MXYM2
iphone-7-8-leather-case-black,MQH92
iphone-7-8-leather-case-black,MMY52
iphone-7-8-leather-case-midnight-blue,MXYN2
iphone-7-8-leather-case-midnight-blue,MQH82
iphone-7-8-leather-case-midnight-blue,MMY32
iphone-7-8-leather-case-saddle-brown,MQH72
iphone-7-8-leather-case-saddle-brown,MMY22
iphone-7-8-leather-case-taupe,MQH62
iphone-7-8-leather-case-taupe,MPT62
iphone-7-8-silicone-case-product-red,MN6H3
iphone-7-8-silicone-case-product-red,MQGP2
iphone-7-8-silicone-case-product-red,MMWN2
iphone-7-8-silicone-case-black,MXYH2
iphone-7-8-silicone-case-black,MQGK2
iphone-7-8-silicone-case-black,MMW82
iphone-7-8-silicone-case-midnight-blue,MQGM2
iphone-7-8-silicone-case-midnight-blue,MMWK2
iphone-7-8-silicone-case-pink-sand,MXYK2
iphone-7-8-silicone-case-pink-sand,MQGQ2
iphone-7-8-silicone-case-pink-sand,MMX12
iphone-7-8-silicone-case-white,MXYJ2
iphone-7-8-silicone-case-white,MQGL2
iphone-7-8-silicone-case-white,MMWF2
iphone-7-8-plus-leather-case-product-red,MQHN2
iphone-7-8-plus-leather-case-product-red,MMYK2
iphone-7-8-plus-leather-case-black,MQHM2
iphone-7-8-plus-leather-case-black,MMYJ2
iphone-7-8-plus-leather-case-midnight-blue,MQHL2
iphone-7-8-plus-leather-case-midnight-blue,MMYG2
iphone-7-8-plus-leather-case-saddle-brown,MQHK2
iphone-7-8-plus-leather-case-saddle-brown,MMYF2
iphone-7-8-plus-leather-case-taupe,MQHJ2
iphone-7-8-plus-leather-case-taupe,MPTC2
iphone-7-8-plus-silicone-case-product-red,MQH12
iphone-7-8-plus-silicone-case-product-red,MMQV2
iphone-7-8-plus-silicone-case-black,MQGW2
iphone-7-8-plus-silicone-case-black,MMQR2
iphone-7-8-plus-silicone-case-midnight-blue,MQGY2
iphone-7-8-plus-silicone-case-midnight-blue,MMQU2
iphone-7-8-plus-silicone-case-pink-sand,MQH22
iphone-7-8-plus-silicone-case-pink-sand,MMT02
iphone-7-8-plus-silicone-case-white,MQGX2
iphone-7-8-plus-silicone-case-white,MMQT2
